adapt_last_objective,anchor_name,anchor_step,art_painting_full_acc,bn_source,candidate_id,candidate_steps,coefficients,consistency_beta,delta_vs_base_art_painting_full_acc,delta_vs_base_test_env0_in_acc,delta_vs_base_test_env0_out_acc,distill_beta,entropy_beta,epochs,family,global_probe_index,interp_alpha,kl_beta,l2_lambda,loss_temperature,lr,mode,num_shards,optimizer,pca_coefficients,peer_a_step,peer_b_step,peer_step,probe_id,prototype_applied,pseudo_beta,sam_rho,scope,search_alpha,selection_score,shard_id,support_acc,support_mean_loss,support_top_alpha_loss,support_weight_mode,teacher_name,test_env0_in_acc,test_env0_out_acc,validation_mean_loss,view_names,weight_decay
0.22730489985810387,bestmean,650,0.8349609375,,,,,0.0,0.01416015625,0.015253203172666208,0.009779951100244544,0.0,0.0,12,sam_update,10,1.0,0.0,0.0,0.0,0.0002,param_update,8,sgd,,,,,bestmean_clf_sam_local,,0.0,0.02,classifier,,,2,0.9594959495949595,0.13951469004509062,0.6933741251879374,uniform,,0.8340451494813911,0.8386308068459658,0.10176619499170479,[],0.0
0.10485960232714812,bestmean,700,0.798828125,,,,,0.0,-0.02197265625,-0.02379499694935938,-0.014669926650366705,0.0,0.0,18,fisher_update,11,1.0,0.0,0.0,0.0,0.0007,param_update,8,adam,,,,,bestmean_clf_fisher_nat,,0.0,0.0,classifier,,,3,0.9711971197119712,0.0822579437946359,0.40395300446382987,uniform,,0.7949969493593655,0.8141809290953546,0.12448135744623777,[],0.0
0.10092353944977124,bestmean,8450,0.80322265625,,,,,0.0,-0.017578125,-0.01464307504575968,-0.02933985330073352,0.0,0.0,18,drift_orthogonal_update,12,1.0,0.0,0.0,0.0,0.0006,param_update,8,adam,,,,,bestmean_clf_drift_orth,,0.0,0.0,classifier,,,4,0.9765976597659766,0.08809121001739208,0.4327299368137105,uniform,,0.8041488712629652,0.7995110024449877,0.09134103370313885,[],0.0
0.11622513913446003,bestmean,350,0.82080078125,,,,,0.0,0.0,0.003050640634533197,-0.012224938875305624,0.0,0.0,18,pca_orthogonal_update,13,1.0,0.0,0.0,0.0,0.0006,param_update,8,adam,,,,,bestmean_clf_pca_orth,,0.0,0.0,classifier,,,5,0.963996399639964,0.10716029645709528,0.5279462422772493,uniform,,0.8218425869432581,0.8166259168704156,0.10511717676114635,[],0.0
0.21047196940829357,bestmean,7500,0.81689453125,,,,,0.0,-0.00390625,-0.006711409395973145,0.007334963325183352,0.0,0.0,18,pca_subspace_update,14,1.0,0.0,0.0,0.0,0.0008,param_update,8,adam,,,,,bestmean_clf_pca_only,,0.0,0.0,classifier,,,6,0.9621962196219622,0.1396716883168974,0.698110623964333,uniform,,0.8120805369127517,0.8361858190709046,0.15203237233041716,[],0.0
0.014710998279042542,bestmean,750,0.8017578125,,,,,0.75,-0.01904296875,-0.021354484441732824,-0.009779951100244433,0.0,0.0,10,consistency_update,15,1.0,0.0,0.0,0.0,5e-05,param_update,8,adamw,,,,,bestmean_feat_consistency,,0.0,0.0,featurizer,,,7,0.9990999099909991,0.004972217198229738,0.024087421973865313,uniform,,0.797437461866992,0.8190709046454768,0.15301299445769367,"['hflip', 'rotate_p10']",0.0001
0.0017548378128695833,bestmean,8500,0.78466796875,,,,,0.0,-0.0361328125,-0.03782794386821231,-0.02933985330073352,0.0,0.0,10,fisher_update,16,0.8,0.0,1e-05,0.0,3e-05,param_update,8,adamw,,,,,bestmean_full_fisher_trust,,0.0,0.0,full,,,0,0.9972997299729973,0.008024422632452946,0.0401172385772172,uniform,,0.7809640024405126,0.7995110024449877,0.1768695696750108,[],0.0001
0.14703477546572685,bestmean,250,0.8515625,,,,,0.0,0.03076171875,0.03416717510677236,0.017114914425427896,0.7,0.0,8,sam_update,17,1.0,0.0,0.0,0.0,5e-05,param_update,8,sgd,,,,,bestmean_full_sam_distill,,0.0,0.02,full,,,1,0.9585958595859586,0.11477928383751204,0.5630359834773628,,quality_uniform,0.8529591214154972,0.8459657701711492,0.11585383830952044,[],0.0
0.026120974216610193,bestmean,650,0.8271484375,,,,,0.0,0.00634765625,0.005491153142159866,0.009779951100244544,0.0,0.0,16,two_stage_update,18,1.0,0.0,0.0,0.0,0.0007,param_update,8,adam,,,,,bestmean_two_stage_clf_full,,0.0,0.0,classifier,,,2,0.9945994599459946,0.019622637742269994,0.09531959885331814,uniform,,0.8242830994508847,0.8386308068459658,0.12529346772602626,[],0.0
0.007293835599234121,bestmean,700,0.79345703125,,,,,0.0,-0.02734375,-0.02745576571079933,-0.02689486552567233,0.0,0.0,20,bn_affine_update,19,1.0,0.0,0.0,0.0,0.001,param_update,8,adam,,,,,bestmean_bn_affine_ce,,0.0,0.0,bn_affine,,,3,0.9954995499549955,0.01290952276548832,0.06378093214506189,uniform,,0.7913361805979255,0.8019559902200489,0.15021980284642772,[],0.0
